doc_name,fp_prediction
Trisomy-9p-(Multiple-Variants),"('trisomy 9p', '""the disorder""', 'anaphora')"
Dysplasia-Epiphysealis-Hemimelica,"('""it""', '""it""', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""waldenstom's macroglobulinemia"", '""it""', 'anaphora')"
Jejunal-Atresia,"('""this disorder""', 'constipation.', 'produces')"
Mikulicz-Syndrome,"('lupus', 'mikulicz syndrome', 'is_acron')"
Alkaptonuria,"('alkaptonuria', 'accumulation of homogentisic acid in the body', 'produces')"
Alpers-Disease,"('alpers disease', 'progressive neurologic disorder', 'is_a')"
Glucose,"('glucose-galactose malabsorption', 'glucose-galactose malabsorption', 'is_acron')"
Banti_s-Syndrome,"('banti syndrome', 'blood clots', 'produces')"
Barakat-Syndrome,"('low blood calcium', 'muscle weakness', 'produces')"
Cystic-Fibrosis,"('cftr a', 'cystic fibrosis', 'is_acron')"
Townes-Brocks-Syndrome,"('townes-brocks syndrome', 'cartilage around the outer ear', 'produces')"
Dup15q-Syndrome,"('dup15q', 'intellectual disability', 'produces')"
Monilethrix,"('monilethrix', 'hair shafts resemble a string of beads.', 'produces')"
Carnosinemia,"('carnosinemia', 'amino acid analysis of serum', 'produces')"
Lichen-Sclerosus,"('""the condition""', 'women', 'produces')"
Alpers-Disease,"('alpers disease', 'blindness', 'produces')"
Townes-Brocks-Syndrome,"('imperforate anus', 'genetic disorder', 'is_a')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'defective or absent clavicles', 'produces')"
Chromosome-9-Ring,"('""the chromosomal abnormality""', 'genital abnormalities', 'produces')"
Cat-Eye-Syndrome,"('""this defect""', 'coloboma', 'produces')"
Primary-Lateral-Sclerosis,"('""the disorder""', 'paralysis of the nerves', 'produces')"
Carnosinemia,"('carnosinemia', 'intellectual disabilities', 'produces')"
Alagille-Syndrome,"('""the disorder""', 'vertebral (back bone) differences', 'produces')"
Carnosinemia,"('carnosinemia', 'muscle weakness', 'produces')"
Epidermolytic-Ichthyosis,"('infants with ei', 'ichthyosis hystrix', 'produces')"
Arthritis-Infectious,"('rheumatoid arthritis', 'autoimmune disorders', 'increases_risk_of')"
Baller,"('bgs', 'distinctive bones of the forearms', 'produces')"
AP,"('ap-4-hsp', '""the disorder""', 'anaphora')"
Empty-Sella-Syndrome,"('empty sella syndrome', '""it""', 'anaphora')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('ccds', 'ccds', 'is_acron')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', 'episodes of mild muscle weakness', 'produces')"
Leukodystrophy,"('""these conditions""', 'spasticity', 'produces')"
Primary-Lateral-Sclerosis,"('primary lateral sclerosis', 'painless but progressive weakness of the muscles of the legs', 'produces')"
Ewing-Sarcoma,"('eft', '""these tumors""', 'anaphora')"
Empty-Sella-Syndrome,"('primary empty sella syndrome', 'empty sella syndrome', 'produces')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'mixed apnea', 'produces')"
Kienbock-Disease,"('""it""', 'degenerative changes in the lunate bone of the wrist', 'produces')"
Agenesis-of-Corpus-Callosum,"('meningocele', '""this condition""', 'anaphora')"
Monilethrix,"('monilethrix', 'papules surrounding the hair follicles', 'produces')"
Lichen-Sclerosus,"('""the condition""', 'balanitis xerotica obliterans', 'produces')"
Glucose,"('""it""', 'watery diarrhea', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('dysplasia epiphysealis hemimelica', 'developmental bone disease', 'is_a')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('vlcadd', '""the disorder""', 'anaphora')"
Cornelia-de-Lange-Syndrome,"('cdls', 'low-pitched ""growing"" cry', 'produces')"
Carnosinemia,"('carnosinemia', 'anserine', 'produces')"
Kienbock-Disease,"('""it""', 'swelling', 'produces')"
Spinocerebellar-Ataxia-with-Axonal-Neuropathy,"('scan1', 'ataxia', 'produces')"
Ichthyosis-Lamellar,"('lamellar ichthyosis and scale. the relationship between lamellar ichthyosis', '""it""', 'anaphora')"
Human-Monocytic-Ehrlichiosis-(HME),"('sennetsu fever', 'infectious disease', 'is_a')"
Mikulicz-Syndrome,"('tuberculosis', '""the disorder""', 'increases_risk_of')"
Schindler-disease,"('schindler disease', 'glycoproteins', 'produces')"
Retroperitoneal-Fibrosis,"('retroperitoneal fibrosis', 'fibrosis', 'produces')"
Trichothiodystrophy,"('ttd', 'bone abnormalities', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', 'weakness', 'produces')"
Monilethrix,"('monilethrix', 'hair loss', 'produces')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('""it""', '""the disorder""', 'is_a')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'mild mental retardation', 'produces')"
Acanthosis-Nigricans,"('drug-induced', 'acanthosis nigricans', 'increases_risk_of')"
Alveolar-Soft-Part-Sarcoma,"('alveolar soft part sarcoma', 'soft tissue tumor', 'is_a')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('agat', 'delayed development of motor skills', 'produces')"
Buerger_s-Disease,"('""it""', 'ulcers on the extremities', 'produces')"
West-Syndrome,"('west syndrome', '""they""', 'anaphora')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('""the disorder""', 'deficiency of the activity of the ssadh enzyme', 'produces')"
Acanthosis-Nigricans,"('acanthosis nigricans', '""the disorder""', 'anaphora')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'mild to severe intellectual disability', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'microbrachycephaly', 'produces')"
Primary-Lateral-Sclerosis,"('""the disorder""', 'difficulty breathing', 'produces')"
Arteriovenous-Malformation,"('arteriovenous malformation', 'vascular lesion', 'is_a')"
Barakat-Syndrome,"('hypocalcemia and congenital anomalies of the kidney', 'urinary tract', 'produces')"
Schindler-disease,"('schindler disease', '""type ii""', '')"
Banti_s-Syndrome,"('banti syndrome', 'hepatic veins', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('cerebral palsy', 'autistic like behaviors', 'produces')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'clavicles', 'produces')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('ssadh deficiency', 'accumulation of the compound succinic semialdehyde', 'produces')"
West-Syndrome,"('west syndrome', '""these symptoms""', 'anaphora')"
Arthritis-Infectious,"('streptococcal arthritis', '""the disorder""', 'increases_risk_of')"
Laband-Syndrome,"('laband syndrome and abnormalities of the head', 'facial (craniofacial) area', 'produces')"
Alpers-Disease,"('cirrhosis', '""this disorder""', 'increases_risk_of')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'easy fatigability', 'produces')"
Fetal-Alcohol-Syndrome,"('fetal alcohol syndrome', 'mental retardation', 'produces')"
Baller,"('bgs', 'distinctive hands', 'produces')"
Anemia-Hereditary-Nonspherocytic-Hemolytic,"('hereditary nonspherocytic hemolytic anemia', 'genetic transmitted blood disorders', 'is_a')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'distinctive facial appearance', 'produces')"
Leukodystrophy,"('leukodystrophies', 'burning paresthesia from peripheral neuropathy', 'produces')"
Alkaptonuria,"('alkaptonuria', 'lack of functional levels of an enzyme required to break down homogentisic acid', 'produces')"
Alpers-Disease,"('optic atrophy', '""this disorder""', 'increases_risk_of')"
Gitelman-Syndrome,"('gitelman syndrome', '""these disorders""', 'anaphora')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'central apnea', 'produces')"
Waldenstrom_s-Macroglobulinemia,"('""this disorder""', 'low platelet counts', 'produces')"
Primary-Lateral-Sclerosis,"('pls', 'primary lateral sclerosis', 'is_acron')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'enlargement or malformation of a structure in the skull', 'produces')"
Lichen-Sclerosus,"('lichen sclerosus', '""the disease""', 'anaphora')"
Kienbock-Disease,"('""it""', 'tenderness', 'produces')"
Alkaptonuria,"('slovakia', 'alkaptonuria', 'is_acron')"
Dejerine,"('""it""', 'walking at school age', 'produces')"
Acanthosis-Nigricans,"('acanthosis nigricans', 'hyperpigmentation', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('""this disorder""', 'ventricular septal defect', 'produces')"
Banti_s-Syndrome,"('banti syndrome', 'congenital abnormalities of splenic veins', 'produces')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('succinic semialdehyde dehydrogenase deficiency', 'autosomal recessive trait.', 'is_a')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'anemia', 'produces')"
Balo-Disease,"('balo disease', 'gradual onset of symptoms', 'produces')"
Cat-Eye-Syndrome,"('""this defect""', 'cleft or gap in the iris below the pupil', 'produces')"
Potter-Syndrome,"('""this condition""', 'bilateral renal agenesis', 'produces')"
Epidermolytic-Ichthyosis,"('infants with ei', 'redness of the skin', 'produces')"
Melorheostosis,"('melorheostosis', '""the disorder""', 'anaphora')"
Cleidocranial-Dysplasia,"('""this disorder""', 'cleidocranial dysplasia', 'is_a')"
Townes-Brocks-Syndrome,"('tbs', '""the disease""', 'anaphora')"
Primary-Lateral-Sclerosis,"('pls', '""the disorder""', 'anaphora')"
Heart-Block-Congenital,"('congenital heart block', '""the disorder""', 'anaphora')"
Cornelia-de-Lange-Syndrome,"('cdls', 'synophrys', 'produces')"
Chromosome-14-Ring,"('chromosome 14 ring', 'ocular hypertelorism', 'produces')"
Kienbock-Disease,"('""it""', 'softening, deterioration, fragmentation or compression of the affected bone', 'produces')"
Cystic-Fibrosis,"('cf.', 'positive family history', 'produces')"
Human-Monocytic-Ehrlichiosis-(HME),"('human monocytic ehrlichiosis', '""these diseases""', 'anaphora')"
Alagille-Syndrome,"('""the disorder""', 'severe itching', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('complement-mediated renal diseases', 'kidney disease', 'is_a')"
Ewing-Sarcoma,"('primitive neuroectodermal tumor', 'tumors', 'is_a')"
Empty-Sella-Syndrome,"('empty sella syndrome', 'sella turcica', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('""this disorder""', 'valves connect the atria to their respective ventricles', 'produces')"
Creutzfeldt-Jakob-Disease,"('cjd', '""the disease""', 'anaphora')"
Fetal-Hydantoin-Syndrome,"('fetal hydantoin syndrome', '""it""', 'anaphora')"
Ichthyosis-Lamellar,"('lamellar ichthyosis', '""the syndrome""', 'anaphora')"
Jejunal-Atresia,"('""this disorder""', 'jaundice', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'mild to moderate coarseness of facial features', 'produces')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('""it""', 'fod disease', 'is_a')"
Cornelia-de-Lange-Syndrome,"('""the disorder""', 'malformations of the hands', 'produces')"
Arteriovenous-Malformation,"('avm', '""the syndrome""', 'anaphora')"
Arthritis-Infectious,"('gonococcal arthritis', '""the disorder""', 'increases_risk_of')"
Pediatric-Crohns-Disease,"('veo inflammatory bowel disease', '""the disorder""', 'increases_risk_of')"
Dejerine,"('""it""', 'muscle weakness', 'produces')"
Schindler-disease,"('naga', 'schindler disease', 'is_acron')"
Balo-Disease,"('balo disease', '""the disorder""', 'anaphora')"
Lichen-Sclerosus,"('""it""', 'lichen sclerosus', 'is_acron')"
Agenesis-of-Corpus-Callosum,"('acc', '""it""', 'anaphora')"
Subacute-Sclerosing-Panencephalitis,"('""the disease""', 'behavioral changes', 'produces')"
Cystic-Fibrosis,"('cftr a', 'cystic fibrosis', 'produces')"
Primary-Lateral-Sclerosis,"('""the disorder""', 'muscle weakness', 'produces')"
Alpers-Disease,"('alpers disease', 'partial paralysis', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'anteverted nares', 'produces')"
Primary-Central-Nervous-System-Lymphoma,"('pcnsl', 'brain tumor', 'is_a')"
Lichen-Sclerosus,"('balanitis xerotica obliterans', 'lichen sclerosus', 'is_synon')"
Dysplasia-Epiphysealis-Hemimelica,"('""it""', 'growth of cartilage', 'produces')"
Primary-Lateral-Sclerosis,"('""the disorder""', 'muscular contractions', 'produces')"
Duchenne-Muscular-Dystrophy,"('dmd', 'childhood onset muscular dystrophy', 'is_a')"
Alpers-Disease,"('alpers disease', 'failure', 'produces')"
Pseudo-Hurler-Polydystrophy,"('pseudo-hurler polydystrophy', 'reduced lysosomal enzyme levels in white blood cells', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('batten turner type congenital myopathy', 'slow, progressive loss of muscle tone', 'produces')"
Mikulicz-Syndrome,"('sjogren syndrome', 'mikulicz syndrome', 'is_synon')"
Mikulicz-Syndrome,"('leukemia', '""the disorder""', 'increases_risk_of')"
Trichothiodystrophy,"('ttd', '""the disorder""', 'anaphora')"
Mixed-Cryoglobulinemia,"('hcv', '""the disorder""', 'anaphora')"
Laband-Syndrome,"('laband syndrome', 'overgrow gums', 'produces')"
Trichothiodystrophy,"('ttd', 'teeth abnormalities', 'produces')"
Arthritis-Infectious,"('rheumatoid arthritis', 'infectious arthritis', 'increases_risk_of')"
Meningitis-Tuberculous,"('miliary tuberculosis', 'tuberculous meningitis', 'is_synon')"
Leukoencephalopathy-with-Brain-Stem-and-Spinal-Cord-Involvement-and-Lactate-Elevation,"('ellie', 'lbsl', 'is_a')"
Barakat-Syndrome,"('low blood calcium', 'hematuria', 'produces')"
Laband-Syndrome,"('laband syndrome', 'gingival fibromatosis', 'produces')"
Cornelia-de-Lange-Syndrome,"('cdls', 'cornelia de lange syndrome', 'is_acron')"
Arteriovenous-Malformation,"('""they""', 'high flow rates in the arteries', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""the disorder""', 'mild muscle weakness', 'produces')"
Alpers-Disease,"('alpers disease', 'muscle twisting', 'produces')"
Pseudo-Hurler-Polydystrophy,"('""this disorder""', 'clouding of the corneas of the eyes', 'produces')"
Antiphospholipid-Syndrome,"('aps', 'autoimmune disorder', 'is_a')"
Chromosome-9-Ring,"('""the chromosomal abnormality""', 'heart defects', 'produces')"
Ichthyosis-Lamellar,"('""it"" and scale. the relationship between lamellar ichthyosis', '""it""', 'anaphora')"
Alport-Syndrome,"('alport syndrome', 'end-stage renal disease', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('c3g and kidney deposits lighter in color', 'more widespread in location', 'produces')"
Agenesis-of-Corpus-Callosum,"('""it""', 'partial or complete absence (agenesis) of an area of the brain that is normally composed of transverse fibers', 'produces')"
Antiphospholipid-Syndrome,"('aps', '""it""', 'anaphora')"
Laband-Syndrome,"('""this disorder""', 'long, thin toes', 'produces')"
Cat-Eye-Syndrome,"('""this defect""', 'eye abnormality', 'produces')"
Chromosome-9-Ring,"('chromosome 9 ring', '""the chromosomal abnormality""', 'anaphora')"
Trisomy-9p-(Multiple-Variants),"('trisomy 9p', '""the long arm"" of chromosome 9', 'produces')"
Multifocal-Motor-Neuropathy,"('multifocal motor neuropathy', 'inflammation', 'produces')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'hyperviscosity', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('""this disorder""', '""the disorder""', 'anaphora')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('cerebral palsy', 'intellectual disabilities', 'produces')"
Meningitis-Tuberculous,"('tuberculous meningitis', '""the disorder""', 'anaphora')"
Hypoplastic-Left-Heart-Syndrome,"('""this disorder""', 'atrial septal partition deficiency', 'produces')"
Elephantiasis,"('elephantiasis', 'gross enlargement of an area of the body such as the external genitals', 'produces')"
Banti_s-Syndrome,"('banti syndrome', 'inflammation', 'produces')"
Heart-Block-Congenital,"('congenital heart block', '""this conduction abnormality""', 'anaphora')"
Dup15q-Syndrome,"('dup15q', 'developmental delay', 'produces')"
Chromosome-9-Ring,"('""the chromosomal abnormality"" and malformations of the skull', 'facial (craniofacial) region', 'produces')"
Waldenstrom_s-Macroglobulinemia,"('""the disorder""', 'bleeding', 'produces')"
Epidermolytic-Ichthyosis,"('infants with ei', 'palmoplantar keratoderma', 'produces')"
Balo-Disease,"('balo disease', '""balo disease""', 'anaphora')"
Cat-Eye-Syndrome,"('""this defect""', 'elongated pupil', 'produces')"
Cleidocranial-Dysplasia,"('""this disorder""', 'failure of the lower jaw joints to unite', 'produces')"
Cleidocranial-Dysplasia,"('cleidocranial dysplasia', 'fontanels', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""waldenstrom's macroglobulinemia"", '""the disorder""', 'anaphora')"
Mixed-Cryoglobulinemia,"('hcv', 'mixed cryoglobulinemia', 'produces')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('""it""', 'autosomal recessive trait.', 'is_a')"
Agenesis-of-Corpus-Callosum,"('meningocele', '""it""', 'is_synon')"
Epidermolytic-Ichthyosis,"('infants with ei and red, blistering', 'denuded skin', 'produces')"
Jejunal-Atresia,"('""the disorder""', '""the disorder""', 'anaphora')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', '""this genetic disorder""', 'anaphora')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'enlarged tears', 'produces')"
Pediatric-Crohns-Disease,"(""crohn's disease"", '""it""', 'anaphora')"
Cornelia-de-Lange-Syndrome,"('cdls and low hairline on the forehead', 'the back of the neck', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""waldenstrom's macroglobulinemia"", '""this disorder""', 'anaphora')"
West-Syndrome,"('west syndrome', 'epilepsy', 'produces')"
Cystic-Fibrosis,"('cf.', 'pulmonary disease', 'produces')"
Creutzfeldt-Jakob-Disease,"('creutzfeldt-jakob disease', 'sudden development of rapidly progressive neurological symptoms', 'produces')"
Heart-Block-Congenital,"('congenital heart block', 'interference with the conduction of electrical nerve impulses', 'produces')"
Alkaptonuria,"('""the disorder""', 'urine that turns black when exposed to air', 'produces')"
Jejunal-Atresia,"('""this disorder""', 'a swollen abdomen', 'produces')"
Banti_s-Syndrome,"('banti syndrome', 'portal veins', 'produces')"
Laband-Syndrome,"('laband syndrome', 'long, thin fingers', 'produces')"
Carnosinemia,"('""this disorder""', 'intellectual disabilities', 'produces')"
Pseudocholinesterase-Deficiency,"('pseudocholinesterase deficiency', 'shortage or absence of the enzyme pseudocholinesterase', 'produces')"
West-Syndrome,"('""these symptoms""', 'seizures', 'produces')"
Carnosinemia,"('carnosinemia', 'motor delays', 'produces')"
Mikulicz-Syndrome,"('mikulicz syndrome', 'soft, painless swellings of the saliva glands', 'produces')"
Barakat-Syndrome,"('hypocalcemia', '""this syndrome""', 'anaphora')"
Baller,"('bgs', 'distinctive facial (craniofacial) area', 'produces')"
Chromosome-6-Partial-Trisomy-6q,"('chromosome 6, partial trisomy 6q and malformations of the skull', 'facial (craniofacial) region', 'produces')"
Epidermolytic-Ichthyosis,"('infants with ei', 'skin thickening', 'produces')"
