doc_name,fp_prediction
Monilethrix,"('skinraredisease monilethrix and sign hair shafts resemble a string of equally-spaced beads. the relationship between skinraredisease monilethrix and sign hair shafts resemble a string of equally-spaced beads. the relationship between skinraredisease monilethrix', 'anaphor ""this disorder""', 'anaphora')"
Dysplasia-Epiphysealis-Hemimelica,"('raredisease deh', 'sign multiple lesions', 'produces')"
Alkaptonuria,"('raredisease alkaptonuria', 'sign lack of enough functional levels of an enzyme required to break down homogentisic acid', 'produces')"
Agenesis-of-Corpus-Callosum,"('raredisease acc', 'raredisease agenesis of corpus callosum', 'is_acron')"
Mikulicz-Syndrome,"('disease sjogren syndrome', 'raredisease mikulicz syndrome', 'increases_risk_of')"
Pseudocholinesterase-Deficiency,"('raredisease pseudocholinesterase deficiency', 'sign succinylcholine', 'produces')"
Pseudo-Hurler-Polydystrophy,"('raredisease mucolipidosis type iii', 'raredisease pseudo-hurler polydystrophy', 'is_acron')"
Creutzfeldt-Jakob-Disease,"('raredisease cjd', 'sign progressive deterioration of intellectual function', 'produces')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('anaphor ""it""', 'disease metabolic diseases', 'is_a')"
Primary-Lateral-Sclerosis,"('anaphor ""the disorder""', 'sign stiffness of joints', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('anaphor ""it""', 'sign nodular mass', 'produces')"
Kienbock-Disease,"('raredisease kienbock disease', 'sign changes in the lunate bone', 'produces')"
Dejerine,"('raredisease dss', 'sign walking at preschool age', 'produces')"
Buerger_s-Disease,"('anaphor ""it""', 'sign ulcers', 'produces')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign inflammation', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('anaphor ""this disorder"" and sign slowly progressive during infancy', 'childhood', 'produces')"
Elephantiasis,"('raredisease elephantiasis', 'sign accumulation of lymph', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('anaphor ""the disease""', 'symptom irritability', 'produces')"
Laband-Syndrome,"('raredisease laband syndrome and sign abnormalities of the head', 'facial (craniofacial) area', 'produces')"
Very-Long-Chain-Acyl-CoA-Dehydrogenase-Deficiency-(LCAD),"('raredisease very long-chain acyl-coa dehydrogenase deficiency', 'disease genetic disorder', 'is_a')"
Empty-Sella-Syndrome,"('raredisease empty sella syndrome', 'sign partial empty sella', 'produces')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign spleen rapidly but prematurely destroys blood cells', 'produces')"
Leukodystrophy,"('raredisease leukodystrophies', 'anaphor ""each type of leukodystrophy""', 'anaphora')"
Barakat-Syndrome,"('raredisease hypocalcemia', 'anaphor ""this syndrome""', 'anaphora')"
Alkaptonuria,"('raredisease alkaptonuria', 'disease genetic metabolic disorder', 'is_a')"
Waldenstrom_s-Macroglobulinemia,"('raredisease wmg', 'sign hyperviscosity', 'produces')"
Agenesis-of-Corpus-Callosum,"('anaphor ""it""', 'sign agenesis', 'produces')"
Mikulicz-Syndrome,"('disease syphilis', 'raredisease mikulicz syndrome', 'increases_risk_of')"
West-Syndrome,"('raredisease epileptic spasms', 'sign intellectual disabilities', 'produces')"
Buerger_s-Disease,"('anaphor ""it""', 'sign gangrene', 'produces')"
Alagille-Syndrome,"('raredisease alagille syndrome', 'sign cholestasis', 'produces')"
Cat-Eye-Syndrome,"('raredisease cat eye syndrome', 'sign long arm of chromosome 22', 'produces')"
Creutzfeldt-Jakob-Disease,"('raredisease creutzfeldt-jakob disease', 'sign loss of muscle mass', 'produces')"
Acanthosis-Nigricans,"('skinraredisease acanthosis nigricans', 'sign hyperkeratosis', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('raredisease agat', 'sign autism', 'produces')"
Human-Monocytic-Ehrlichiosis-(HME),"('raredisease hme', 'anaphor ""the disorders""', 'anaphora')"
Laband-Syndrome,"('raredisease laband syndrome and sign abnormalities of the hands', 'feet', 'produces')"
Primary-Lateral-Sclerosis,"('anaphor ""the disorder""', 'sign paralysis of the nerves', 'produces')"
Trichothiodystrophy,"('skinraredisease ttd', 'sign teeth anomalies', 'produces')"
Mikulicz-Syndrome,"('raredisease sle', 'raredisease mikulicz syndrome', 'is_acron')"
Hyperferritinemia-Cataract-Syndrome,"('raredisease hyperferritinemia-cataract syndrome', 'sign cataracts', 'produces')"
Alpers-Disease,"('raredisease alpers disease', 'sign loss of control of the movement of their arms', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('raredisease dysplasia epiphysealis hemimelica', 'disease developmental bone disease', 'is_a')"
Primary-Lateral-Sclerosis,"('sign muscle weakness', 'raredisease primary lateral sclerosis', 'produces')"
Buerger_s-Disease,"(""raredisease buerger's disease"", 'sign clotting of certain veins', 'produces')"
Chromosome-9-Ring,"('anaphor ""the chromosomal abnormality""', 'sign moderate to severe intellectual disability', 'produces')"
Arthritis-Infectious,"('raredisease rheumatoid arthritis', 'raredisease infectious arthritis', 'is_a')"
Cystic-Fibrosis,"('raredisease cftr a', 'sign pulmonary disease', 'produces')"
Trichothiodystrophy,"('skinraredisease ttd', 'sign bone abnormalities', 'produces')"
Agenesis-of-Corpus-Callosum,"('anaphor ""this condition""', 'sign mental retardation', 'produces')"
Meningitis-Tuberculous,"('raredisease meningitis', 'anaphor ""it""', 'anaphora')"
Leukodystrophy,"('raredisease leukodystrophies', 'sign neurological problems', 'produces')"
Cornelia-de-Lange-Syndrome,"('anaphor ""the disorder""', 'sign malformations of the arms', 'produces')"
Glucose,"('raredisease glucose-galactose malabsorption', 'sign watery diarrhea', 'produces')"
Barakat-Syndrome,"('raredisease hypocalcemia', 'sign hypocalcemia', 'produces')"
Creutzfeldt-Jakob-Disease,"('raredisease creutzfeldt-jakob disease', 'sign muscle weakness', 'produces')"
Pseudo-Hurler-Polydystrophy,"('raredisease pseudo-hurler polydystrophy', 'sign progressive joint stiffness', 'produces')"
Barakat-Syndrome,"('raredisease congenital anomalies of the kidney and urinary tract', 'raredisease hypocalcemia', 'is_a')"
Laband-Syndrome,"('raredisease laband syndrome', 'sign overgrowth of gums', 'produces')"
Lichen-Sclerosus,"('anaphor ""it""', 'sign lichen sclerosus', 'produces')"
Waldenstrom_s-Macroglobulinemia,"('raredisease wmg', 'sign peripheral neuropathy', 'produces')"
Townes-Brocks-Syndrome,"('raredisease tbs', 'sign folded rim of skin', 'produces')"
Turner-Syndrome,"('raredisease turner syndrome', 'anaphor ""it""', 'anaphora')"
Alagille-Syndrome,"('raredisease alagille syndrome', 'sign jaundice', 'produces')"
Heart-Block-Congenital,"('anaphor ""this disorder""', 'sign conduction abnormalities', 'produces')"
Empty-Sella-Syndrome,"('raredisease empty sella syndrome', 'sign enlargement or malformation of a structure in the skull', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('anaphor ""the disease""', 'sign involuntary muscle movements', 'produces')"
Fetal-Hydantoin-Syndrome,"('raredisease fetal hydantoin syndrome', 'sign fetal hydantoin syndrome', 'produces')"
Human-Monocytic-Ehrlichiosis-(HME),"('raredisease hme', 'raredisease infectious disease', 'is_a')"
Meningitis-Tuberculous,"('raredisease tuberculous meningitis', 'anaphor ""the disorder""', 'anaphora')"
Cystic-Fibrosis,"('raredisease cftr a', 'raredisease cystic fibrosis', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('anaphor ""this disorder""', 'sign episodes of mild muscle weakness', 'produces')"
Buerger_s-Disease,"('anaphor ""it""', 'symptom claudication', 'produces')"
Alpers-Disease,"('raredisease alpers disease', 'sign loss of control of the movement of their legs', 'produces')"
Chromosome-9-Ring,"('anaphor ""the chromosomal abnormality"" and sign malformations of the skull', 'facial (craniofacial) region', 'produces')"
Heart-Block-Congenital,"('raredisease congenital heart block', 'sign interference with the conduction of electrical nerve impulses that regulate the heart muscle', 'produces')"
Dup15q-Syndrome,"('raredisease dup15q', 'disease chromosome (cytogenetic) anomalies', 'is_a')"
Creutzfeldt-Jakob-Disease,"('raredisease cjd', 'anaphor ""the disorder""', 'anaphora')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('raredisease agat', 'sign tend to tire easily.', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('raredisease batten turner type congenital myopathy', 'anaphor ""the disease""', 'anaphora')"
Cleidocranial-Dysplasia,"('raredisease cleidocranial dysplasia', 'sign narrow, sloping pelvic bones', 'produces')"
Mixed-Cryoglobulinemia,"('raredisease hcv', 'raredisease mixed cryoglobulinemia', 'is_acron')"
Lichen-Sclerosus,"('skinraredisease lichen sclerosus', 'anaphor ""the disease""', 'anaphora')"
Meige-Syndrome,"('raredisease meige syndrome', 'sign involuntary contractions of the muscles of the jaw', 'produces')"
Cornelia-de-Lange-Syndrome,"('anaphor ""the disorder""', 'sign mild to severe intellectual disability', 'produces')"
Schindler-disease,"('raredisease schindler disease', 'sign abnormal accumulation of certain complex compounds', 'produces')"
Empty-Sella-Syndrome,"('disease pseudotumor cerebri', 'raredisease empty sella syndrome', 'is_synon')"
Hypoplastic-Left-Heart-Syndrome,"('raredisease hypoplastic left heart syndrome', 'sign two chambers of the atria separated by a fibrous partition', 'produces')"
Mixed-Cryoglobulinemia,"('raredisease mixed cryoglobulinemia', 'anaphor ""it""', 'anaphora')"
Creutzfeldt-Jakob-Disease,"('raredisease creutzfeldt-jakob disease', 'sign dementia', 'produces')"
Primary-Lateral-Sclerosis,"('anaphor ""the disorder""', 'sign snoring', 'produces')"
Acanthosis-Nigricans,"('skinraredisease acanthosis nigricans', 'sign obesity', 'produces')"
Arthritis-Infectious,"('raredisease infectious arthritis', 'symptom chills', 'produces')"
Agenesis-of-Corpus-Callosum,"('anaphor ""it""', 'sign partial or complete agenesis of corpus callosum', 'produces')"
Primary-Central-Nervous-System-Lymphoma,"('raredisease pcnsl', 'sign brain tumor', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('raredisease deh', 'sign hemimelic', 'produces')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign portal veins', 'produces')"
Mikulicz-Syndrome,"(""disease hodgkin's disease"", 'raredisease mikulicz syndrome', 'increases_risk_of')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('anaphor ""the disorder""', 'sign elevated levels of ghb in the urine', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('raredisease hypoplastic left heart syndrome', 'sign ventricular septal defect', 'produces')"
Fetal-Valproate-Syndrome,"('raredisease fvs', 'sign autism', 'increases_risk_of')"
Epidermolytic-Ichthyosis,"('skinraredisease ei and sign infants with red, blistering', 'denuded skin', 'produces')"
Agenesis-of-Corpus-Callosum,"('raredisease acc', 'anaphor ""this condition""', 'anaphora')"
Carnosinemia,"('raredisease carnosinemia', 'sign muscle weakness', 'produces')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign congenital of such veins', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('raredisease agat', 'sign failure to thrive', 'produces')"
Arthritis-Infectious,"('raredisease infectious arthritis', 'anaphor ""the disorder""', 'anaphora')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('raredisease complement-mediated renal diseases', 'disease entities', 'is_a')"
Cornelia-de-Lange-Syndrome,"('skinraredisease cdls', 'skinraredisease cornelia de lange syndrome', 'is_acron')"
Pseudocholinesterase-Deficiency,"('raredisease pseudocholinesterase deficiency', 'sign apnea', 'produces')"
Antiphospholipid-Syndrome,"('raredisease aps', 'sign deep vein thrombosis', 'produces')"
Gitelman-Syndrome,"('raredisease gitelman syndrome', 'anaphor ""these disorders""', 'anaphora')"
Hypoplastic-Left-Heart-Syndrome,"('raredisease hypoplastic left heart syndrome', 'sign four chambers of the heart', 'produces')"
Buerger_s-Disease,"(""raredisease buerger's disease and sign occlusion of the veins"", 'arteries of the extremities', 'produces')"
Fetal-Valproate-Syndrome,"('raredisease fvs', 'sign endocrine disorders', 'increases_risk_of')"
Succinic-Semialdehyde-Dehydrogenase-Deficiency,"('raredisease succinic semialdehyde dehydrogenase deficiency', 'disease inborn error of metabolism', 'is_a')"
Alkaptonuria,"('raredisease alkaptonuria', 'sign sclera discolored', 'produces')"
Alkaptonuria,"('raredisease alkaptonuria', 'sign urine that turns black when exposed to air', 'produces')"
Pseudocholinesterase-Deficiency,"('raredisease pseudocholinesterase deficiency', 'sign obstruction', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('raredisease complement-mediated renal diseases', 'sign dense deposits', 'produces')"
Barakat-Syndrome,"('anaphor ""this syndrome"" and sign congenital anomalies of the kidney', 'urinary tract', 'produces')"
Creutzfeldt-Jakob-Disease,"('raredisease cjd', 'sign athetosis', 'produces')"
Alkaptonuria,"('raredisease alkaptonuria', 'sign after exposure to light pink', 'produces')"
Pseudo-Hurler-Polydystrophy,"('raredisease pseudo-hurler polydystrophy', 'sign defective enzyme', 'produces')"
AP,"('raredisease ap-4-hsp', 'anaphor ""the disorder""', 'anaphora')"
Chromosome-14-Ring,"('raredisease chromosome 14 ring and sign abnormalities of the head', 'facial (craniofacial) area', 'produces')"
Trisomy-9p-(Multiple-Variants),"('raredisease trisomy 9p', 'anaphor ""the disorder""', 'anaphora')"
Barakat-Syndrome,"('anaphor ""this syndrome""', 'sign prenatal ultrasound', 'produces')"
Dysplasia-Epiphysealis-Hemimelica,"('raredisease deh', 'sign abnormal cartilage', 'produces')"
Townes-Brocks-Syndrome,"('raredisease tbs', 'sign polycystic kidneys', 'produces')"
Leukodystrophy,"('raredisease leukodystrophies', 'anaphor ""these disorders""', 'anaphora')"
Laband-Syndrome,"('raredisease laband syndrome', 'sign abnormalities of the toes', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""raredisease waldenstrom's macroglobulinemia"", 'sign excessive amounts of igm', 'produces')"
Alkaptonuria,"('raredisease alkaptonuria', 'sign after urination an hour after the beginning of the color changes', 'produces')"
West-Syndrome,"('raredisease west syndrome', 'anaphor ""this constellation of symptoms""', 'anaphora')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('raredisease complement-mediated renal diseases', 'disease kidney disease', 'is_a')"
Empty-Sella-Syndrome,"('raredisease empty sella syndrome', 'sign sella turcica', 'produces')"
Jejunal-Atresia,"('anaphor ""this disorder""', 'sign abnormal radiographic findings', 'produces')"
Myopathy-Congenital-Batten-Turner-Type,"('anaphor ""this disorder""', 'sign floppiness', 'produces')"
Subacute-Sclerosing-Panencephalitis,"('anaphor ""the disease""', 'sign behavioral changes', 'produces')"
Hartnup-Disease,"('raredisease slc6a19 hartnup disease', 'anaphor ""the disorder""', 'anaphora')"
Mikulicz-Syndrome,"('disease leukemia', 'raredisease mikulicz syndrome', 'increases_risk_of')"
Potter-Syndrome,"('raredisease potter syndrome', 'sign bilateral renal agenesis', 'produces')"
Pseudocholinesterase-Deficiency,"('raredisease pseudocholinesterase deficiency', 'sign sensitivity to any of several anesthetics', 'produces')"
Cornelia-de-Lange-Syndrome,"('skinraredisease cornelia de lange syndrome', 'sign malformations of the feet', 'produces')"
Primary-Lateral-Sclerosis,"('anaphor ""the disorder""', 'sign muscle weakness', 'produces')"
Creutzfeldt-Jakob-Disease,"('raredisease creutzfeldt-jakob disease', 'sign neurological symptoms', 'produces')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign hypertension within the spleen', 'produces')"
Dup15q-Syndrome,"('raredisease dup15q', 'sign asd', 'produces')"
Ewing-Sarcoma,"('raredisease ewing sarcoma of bone', 'raredisease ewing sarcoma', 'is_a')"
Antiphospholipid-Syndrome,"('disease systemic lupus erythematosus', 'raredisease aps', 'increases_risk_of')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('raredisease complement-mediated renal diseases', 'sign abundance of a protein called c3 in the renal glomeruli', 'produces')"
Cornelia-de-Lange-Syndrome,"('anaphor ""the disorder"" and sign characteristic abnormalities of the head', 'facial (craniofacial) area', 'produces')"
Alpers-Disease,"('raredisease alpers disease', 'sign inability to control the movement of their arms', 'produces')"
Waldenstrom_s-Macroglobulinemia,"('raredisease wmg', 'sign loss of energy', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""raredisease waldenstrom's macroglobulinemia"", 'anaphor ""the disorder""', 'anaphora')"
Pseudocholinesterase-Deficiency,"('raredisease pseudocholinesterase deficiency', 'sign excess anesthetic agent', 'produces')"
Arthritis-Infectious,"('disease-causing microbe', 'raredisease infectious arthritis', 'is_a')"
Agenesis-of-Corpus-Callosum,"('anaphor ""it""', 'sign absence of a portion of the brain that is normally composed of transverse fibers', 'produces')"
Ewing-Sarcoma,"('raredisease eft', 'raredisease ewing sarcoma', 'is_acron')"
Kienbock-Disease,"('raredisease kienbock disease', 'sign wrist osteoarthritis', 'produces')"
Empty-Sella-Syndrome,"('raredisease empty sella', 'sign pituitary gland', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('raredisease agat', 'sign autistic like behaviors', 'produces')"
Alpers-Disease,"('raredisease alpers disease', 'disease progressive neurologic disorder', 'is_a')"
Barakat-Syndrome,"('raredisease hypocalcemia', 'sign proteinuria', 'produces')"
Trichothiodystrophy,"('skinraredisease ttd', 'anaphor ""it""', 'anaphora')"
Chromosome-14-Ring,"('raredisease chromosome 14 ring', 'sign large, low-set ears', 'produces')"
Mikulicz-Syndrome,"('raredisease mikulicz syndrome', 'sign abnormal enlargement of parotids', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('raredisease hypoplastic left heart syndrome', 'sign valves', 'produces')"
Primary-Lateral-Sclerosis,"('raredisease primary lateral sclerosis', 'sign weakness of the muscles of the arms', 'produces')"
Alagille-Syndrome,"('anaphor ""the disorder""', 'sign vertebral (back bone) differences', 'produces')"
Carnosinemia,"('raredisease carnosinemia', 'sign congenital myopathy', 'produces')"
Cornelia-de-Lange-Syndrome,"('anaphor ""the disorder""', 'sign prenatal growth retardation', 'produces')"
Ovotesticular-Disorder-of-Sex-Development,"('raredisease ovotesticular disorder of sex development', 'disease sex development', 'is_a')"
Alkaptonuria,"('sign arthritis', 'raredisease alkaptonuria', 'produces')"
Protein-S-Deficiency,"('raredisease pros1 protein s deficiency', 'anaphor ""the disorder""', 'anaphora')"
Buerger_s-Disease,"(""raredisease buerger's disease"", 'sign tissue death', 'produces')"
Dup15q-Syndrome,"('raredisease dup15q', 'sign developmental delay', 'produces')"
Townes-Brocks-Syndrome,"('raredisease tbs', 'sign cartilage around the outer ear', 'produces')"
Elephantiasis,"('raredisease elephantiasis', 'sign lymphedema', 'produces')"
Cat-Eye-Syndrome,"('raredisease cat eye syndrome', 'sign normal chromosomal make-up', 'produces')"
Retroperitoneal-Fibrosis,"('raredisease idiopathic', 'raredisease retroperitoneal fibrosis', 'is_a')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('raredisease agat', 'sign cerebral palsy', 'produces')"
Hypoplastic-Left-Heart-Syndrome,"('raredisease hypoplastic left heart syndrome', 'sign blood is returning to the heart through pulmonary artery', 'produces')"
Kienbock-Disease,"('raredisease kienbock disease', 'sign recurrent pain in the wrist', 'produces')"
Balo-Disease,"('raredisease balo disease', 'sign gradual onset of symptoms', 'produces')"
Creutzfeldt-Jakob-Disease,"('raredisease creutzfeldt-jakob disease', 'sign myoclonus', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('raredisease agat', 'sign delayed development of motor skills', 'produces')"
Alport-Syndrome,"('raredisease alport syndrome', 'disease chronic kidney disease', 'increases_risk_of')"
Balo-Disease,"('raredisease balo disease and sign paralysis. the relationship between raredisease balo disease', 'sign neurological symptoms', 'produces')"
Kienbock-Disease,"('raredisease kienbock disease', 'sign stiffness in the wrist', 'produces')"
Waldenstrom_s-Macroglobulinemia,"('raredisease wmg', 'sign bleeding in the gums', 'produces')"
Fetal-Valproate-Syndrome,"('raredisease fvs', 'anaphor ""it""', 'anaphora')"
Alpers-Disease,"('raredisease alpers disease', 'sign liver disease', 'produces')"
Chromosome-9-Ring,"('raredisease chromosome 9 ring', 'anaphor ""the chromosomal abnormality""', 'anaphora')"
Arthritis-Infectious,"('raredisease osteoarthritis', 'raredisease infectious arthritis', 'is_a')"
Arteriovenous-Malformation,"('raredisease arteriovenous malformation', 'disease vascular lesion', 'is_a')"
Dup15q-Syndrome,"('raredisease dup15q', 'sign intellectual disability', 'produces')"
Banti_s-Syndrome,"('disease vascular obstruction', 'raredisease banti syndrome', 'increases_risk_of')"
Duchenne-Muscular-Dystrophy,"('raredisease dmd', 'disease childhood onset muscular dystrophy', 'is_a')"
Tinnitus,"('raredisease tinnitus', 'symptom tinnitus', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('raredisease c3g', 'anaphor ""these patients""', 'anaphora')"
Creutzfeldt-Jakob-Disease,"('raredisease creutzfeldt-jakob disease', 'sign mental symptoms', 'produces')"
Monilethrix,"('skinraredisease monilethrix', 'sign hair loss', 'produces')"
Agenesis-of-Corpus-Callosum,"('raredisease acc', 'anaphor ""it""', 'anaphora')"
Agenesis-of-Corpus-Callosum,"('raredisease fetal alcohol syndrome', 'raredisease acc', 'is_synon')"
Banti_s-Syndrome,"('raredisease banti syndrome', 'sign hepatic veins', 'produces')"
Argininie_-Glycine-Amidinotransferase-Deficiency,"('raredisease agat', 'sign weak muscle tone', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('raredisease c3g', 'raredisease c3g', 'is_synon')"
West-Syndrome,"('raredisease west syndrome', 'sign epileptic / infantile spasms', 'produces')"
Alveolar-Soft-Part-Sarcoma,"('anaphor ""it""', 'sign a painless mass', 'produces')"
Arteriovenous-Malformation,"('raredisease avm', 'sign normal brain tissue', 'produces')"
Waldenstrom_s-Macroglobulinemia,"(""raredisease waldenstrom's macroglobulinemia"", 'disease malignant disorder of the bone marrow', 'is_a')"
Barakat-Syndrome,"('raredisease 22q11 syndrome', 'raredisease barakat syndrome', 'is_acron')"
Alkaptonuria,"('raredisease alkaptonuria', 'sign accumulation of homogentisic acid in the body', 'produces')"
C3-Glomerulopathy_-Dense-Deposit-Disease-and-C3-Glomerulonephritis,"('raredisease c3 glomerulopathy', 'disease glomerular disease', 'is_a')"
Cystic-Fibrosis,"('raredisease cftr a', 'sign pancreatic disease', 'produces')"
Laband-Syndrome,"('raredisease laband syndrome', 'sign gingival fibromatosis', 'produces')"
Alport-Syndrome,"('raredisease alport syndrome', 'sign end-stage renal disease', 'produces')"
